NPLV,O2
510426,2558.0
510427,3195.0
510428,2.0
510429,23.0
510430,2593.0
510431,4031.0
510432,861.0
510433,4065.0
510435,1685.0
510436,1883.0
510437,1346.0
510438,3704.0
510439,2849.0
510440,3501.0
510441,2422.0
510442,966.0
510443,2924.0
510444,2148.0
510445,3157.0
510446,3686.0
510448,3164.0
510449,3748.0
510450,3809.0
510451,3221.0
510452,3154.0
510453,1595.0
510454,2009.0
510455,2592.0
510456,2875.0
510457,2917.0
510458,3829.0
510459,2862.0
510460,1449.0
510461,1845.0
510462,2369.0
510463,2919.0
510464,2826.0
510466,2708.0
510467,1485.0
510468,2061.0
510469,1915.0
510470,2941.0
510471,2779.0
510472,2691.0
510473,1091.0
510474,2017.0
510475,1269.0
510476,3095.0
510477,2762.0
510478,1835.0
510479,1636.0
510480,2843.0
510482,2088.0
510483,1656.0
510484,2827.0
510485,1662.0
510486,2126.0
510487,1904.0
510488,2860.0
510489,1695.0
510490,2007.0
510491,1881.0
510492,2853.0
510493,1737.0
510494,1625.0
510495,1804.0
510496,2287.0
510497,3166.0
510498,2622.0
510499,3579.0
510500,2435.0
510501,3011.0
510503,3878.0
510504,3073.0
510505,2011.0
510506,2558.0
510507,1482.0
510509,1554.0
510510,1832.0
510511,2841.0
510512,2688.0
510513,2533.0
510514,3005.0
510515,1907.0
510516,3166.0
510517,3260.0
510518,3199.0
510519,1777.0
510520,2572.0
510521,1929.0
510523,1607.0
510524,1887.0
510525,1895.0
510526,2508.0
510527,1998.0
510528,3055.0
510529,2514.0
510530,2894.0
510531,2234.0
510532,3379.0
510533,3936.0
510535,3795.0
510536,2447.0
510537,1835.0
510538,3233.0
510539,1736.0
510540,5089.0
510541,4302.0
510542,3301.0
510543,1722.0
510544,4187.0
510546,1685.0
510547,3068.0
510548,1396.0
510549,2340.0
510550,1961.0
510551,2871.0
510552,2306.0
510553,1770.0
510554,2044.0
510555,2154.0
510558,2816.0
510560,1821.0
510561,1819.0
510563,1718.0
510564,1711.0
510565,1926.0
510566,1623.0
510567,3002.0
510568,1713.0
510569,3427.0
510570,3609.0
510571,3347.0
510572,3271.0
510573,3276.0
510574,1686.0
510575,3168.0
510576,2998.0
510577,2756.0
510578,2527.0
510579,3258.0
510580,3385.0
510582,3422.0
510583,2663.0
510584,1949.0
510585,2437.0
510586,1701.0
510587,3462.0
510589,4474.0
510590,3668.0
510592,2658.0
510593,2747.0
510594,2871.0
510595,3159.0
510596,1989.0
510597,1963.0
510598,3133.0
510599,3348.0
510600,3693.0
510601,2139.0
510602,2584.0
510603,2415.0
510604,2177.0
510605,2074.0
510608,4055.0
510609,1953.0
510614,2509.0
510616,1970.0
510622,3341.0
510623,2811.0
510624,2691.0
510626,4607.0
510627,2752.0
510628,1284.0
510629,67.0
510630,3348.0
510631,2854.0
510632,3035.0
510633,2715.0
510634,2023.0
510635,1320.0
510636,1650.0
510637,3091.0
510638,2950.0
510639,1576.0
510640,3265.0
510641,2221.0
510642,2212.0
510643,2267.0
510644,2728.0
510645,1928.0
510646,3085.0
510647,3062.0
510648,5037.0
510649,3815.0
510650,2220.0
510652,1734.0
510653,1762.0
510654,2401.0
510655,1742.0
510656,1630.0
510657,2996.0
510658,1908.0
510659,1713.0
510660,3808.0
510662,3870.0
510664,3704.0
510665,2910.0
510666,2070.0
510667,2156.0
510668,2231.0
510669,4506.0
510670,4011.0
510671,2091.0
510672,3537.0
510673,1946.0
510674,3236.0
510675,2547.0
510676,3211.0
510677,2790.0
510678,2418.0
510679,1965.0
510680,3145.0
510681,3005.0
510682,2548.0
510683,4479.0
510684,4028.0
510685,1867.0
510686,2018.0
510687,842.0
510688,2870.0
510689,3103.0
510690,2471.0
510691,3091.0
510692,1847.0
510693,2719.0
510694,2710.0
510695,1798.0
510696,2469.0
510697,1942.0
510698,3747.0
510699,2381.0
510700,3538.0
510701,2151.0
510702,9.0
510703,2366.0
510704,2015.0
510705,2573.0
510706,2527.0
510708,2275.0
510710,2540.0
510712,2343.0
510713,3498.0
510714,2128.0
510715,1834.0
510716,2502.0
510717,1827.0
510718,1959.0
510719,1956.0
510720,3274.0
510721,2247.0
510722,2161.0
510723,4011.0
510724,3679.0
510725,1974.0
510726,2060.0
510727,3465.0
510728,1974.0
510729,1901.0
510730,1846.0
510731,1946.0
510732,3775.0
510733,785.0
510734,1941.0
510735,1925.0
510736,1776.0
510737,1721.0
510738,4387.0
510739,3159.0
510740,3652.0
510741,2928.0
510742,2030.0
510743,2687.0
510744,3063.0
510745,3864.0
510746,4136.0
510747,1846.0
510748,3858.0
510749,4110.0
510750,3590.0
510751,4038.0
510752,3459.0
510753,3698.0
510754,1743.0
510755,2174.0
510756,1947.0
510757,2217.0
510758,3640.0
510759,1932.0
510760,3336.0
510761,1941.0
510762,2166.0
510763,2006.0
510764,1794.0
510765,2158.0
510766,4229.0
510767,1468.0
510768,2907.0
510770,1733.0
510771,2597.0
510772,3467.0
510773,2776.0
510774,3427.0
510775,4456.0
510776,2872.0
510777,1714.0
510778,5310.0
510779,1913.0
510780,1261.0
510781,3219.0
510782,3318.0
510783,1460.0
510784,2525.0
510787,3682.0
510788,3441.0
510789,3115.0
510790,2887.0
510791,2798.0
510792,1892.0
510793,2467.0
510794,3171.0
510795,3087.0
510797,2389.0
510798,2950.0
510799,3353.0
510800,2268.0
510801,3335.0
510802,3032.0
510803,4570.0
510804,2575.0
510805,2127.0
510806,5606.0
510807,2742.0
510808,2098.0
510809,2780.0
510810,2808.0
510812,1546.0
510813,74.0
510814,1739.0
510815,1749.0
510817,1910.0
510818,1805.0
510819,1809.0
510820,3195.0
510821,2811.0
510822,1875.0
510823,1875.0
510824,1747.0
510825,2095.0
510826,2891.0
510827,3648.0
510828,2156.0
510829,2352.0
510831,2716.0
510833,5455.0
510834,3902.0
510836,3065.0
510837,3760.0
510838,4167.0
510839,1906.0
510840,2816.0
510841,2120.0
510842,2829.0
510843,2774.0
510844,2138.0
510845,2409.0
510846,2248.0
510847,4.0
510848,3594.0
510849,1829.0
510850,3586.0
510851,1543.0
510852,69.0
510853,2496.0
510854,5422.0
510855,3726.0
510856,2631.0
510857,3176.0
510858,3006.0
510859,2629.0
510860,2358.0
510861,3399.0
510862,4067.0
510863,5975.0
510864,3696.0
510865,3217.0
510866,2474.0
510867,3395.0
510868,2571.0
510869,3605.0
510870,3762.0
510871,3432.0
510872,2167.0
510873,2525.0
510874,2331.0
510875,3573.0
510876,3915.0
510877,3541.0
510878,3606.0
510879,3832.0
510880,1916.0
510881,1905.0
510882,1889.0
510883,0.0
510884,3510.0
510885,3564.0
510886,1684.0
510887,2437.0
510888,2208.0
510889,2396.0
510891,2940.0
510892,722.0
510893,2266.0
510894,2018.0
510895,2012.0
510896,3765.0
510898,3253.0
510899,2991.0
510900,3820.0
510901,3372.0
510903,3040.0
510904,2319.0
510905,3365.0
510906,3036.0
510907,2395.0
510908,2294.0
510909,2965.0
510910,3621.0
510911,3333.0
510912,2202.0
510914,2657.0
510915,3245.0
510916,3543.0
510917,2176.0
510918,1638.0
510919,3671.0
510920,3159.0
510921,2688.0
510922,3693.0
510923,2760.0
510924,3081.0
510925,3122.0
510926,1832.0
510927,1716.0
510928,1841.0
510929,3671.0
510931,3333.0
510932,3741.0
510933,4437.0
510934,1791.0
510936,3839.0
510937,101.0
510939,2093.0
510941,2024.0
510942,4138.0
510943,3709.0
510944,4160.0
510945,3057.0
510946,3331.0
510947,2193.0
510948,1912.0
510949,1949.0
510950,5181.0
510951,3736.0
510952,2997.0
510953,2139.0
510954,2214.0
510955,2395.0
510956,2100.0
510957,3773.0
510958,2532.0
510959,3197.0
510960,2057.0
510961,1789.0
510962,21.0
510963,1175.0
510965,1621.0
510966,3376.0
510968,2921.0
510969,2050.0
510970,2943.0
510972,1942.0
510975,3828.0
510976,4627.0
510977,3444.0
510978,3141.0
510979,2667.0
510980,3567.0
510981,2782.0
510982,3020.0
510983,3376.0
510984,3198.0
510985,3768.0
510986,3372.0
510987,3878.0
510988,2124.0
510989,3011.0
510990,2000.0
510991,2471.0
510992,1729.0
510993,4131.0
510994,3440.0
510995,1713.0
510996,1526.0
510997,3203.0
510998,3680.0
510999,3141.0
511000,4174.0
511001,3693.0
511002,3355.0
511003,3806.0
511004,3452.0
511005,2341.0
511006,2365.0
511007,2012.0
511008,2073.0
511009,1978.0
511011,2392.0
511012,2591.0
511013,4213.0
511014,3679.0
511015,2271.0
511016,2247.0
511017,1396.0
511018,2061.0
511019,1794.0
511020,2082.0
511021,43.0
511022,3860.0
511023,1870.0
511024,56.0
511025,1853.0
511027,1741.0
511028,1897.0
511029,1847.0
511030,2788.0
511031,2735.0
511032,2983.0
511033,2110.0
511034,2068.0
511035,2264.0
511036,2056.0
511037,1893.0
511038,2113.0
511039,1980.0
511040,3209.0
511041,2662.0
511042,2957.0
511044,2331.0
511045,4185.0
511046,4188.0
511047,2165.0
511048,1056.0
511049,3222.0
511050,2399.0
511051,2765.0
511052,0.0
511053,3639.0
511054,2527.0
511055,2563.0
511056,3407.0
511057,2630.0
511058,4274.0
511059,3098.0
511060,2848.0
511061,1896.0
511062,1906.0
511063,2816.0
511064,1940.0
511065,2122.0
511066,1977.0
511067,2131.0
511068,1867.0
511069,77.0
511070,1542.0
511071,950.0
511072,1362.0
511073,2061.0
511074,35.0
511075,2482.0
511076,1574.0
511077,3115.0
511078,3174.0
511079,2123.0
511080,3813.0
511081,0.0
511084,2125.0
511085,3173.0
511086,1973.0
511087,1732.0
511089,2672.0
511090,4374.0
511091,4291.0
511092,3645.0
511093,3778.0
511094,3501.0
511096,2635.0
511097,3321.0
511099,1682.0
511100,2919.0
511101,4337.0
511103,3751.0
511104,4129.0
511105,3614.0
511106,3771.0
511107,3316.0
511108,3962.0
511109,1874.0
511110,2787.0
511112,1949.0
511113,3477.0
511114,2559.0
511115,3009.0
511116,3283.0
511118,2292.0
511119,3543.0
511120,4210.0
511121,3038.0
511122,2261.0
511123,2069.0
511124,2216.0
511126,3629.0
511127,2002.0
511128,3672.0
511130,2250.0
511131,3152.0
511135,2813.0
511137,2915.0
511139,3297.0
511140,4007.0
511141,1931.0
511142,1884.0
511143,1895.0
511144,1817.0
511145,4314.0
511146,1901.0
511147,1688.0
511148,3147.0
511149,2763.0
511150,4914.0
511151,3491.0
511152,4360.0
511155,2440.0
511156,3080.0
511157,2139.0
511158,2336.0
511159,3497.0
511160,3199.0
511161,4204.0
511162,1876.0
511163,4972.0
511164,2284.0
511165,3314.0
511166,2705.0
511167,3662.0
511169,4266.0
511171,2296.0
511172,262.0
511173,1259.0
511175,3572.0
511176,1343.0
511177,3492.0
511178,3471.0
511179,3762.0
511180,3972.0
511181,3866.0
511182,3184.0
511183,3278.0
511184,2042.0
511186,2996.0
511187,1837.0
511189,1932.0
511191,1956.0
511192,1788.0
511193,4699.0
511194,2646.0
511195,2250.0
511196,2197.0
511197,2363.0
511198,3911.0
511199,2979.0
511200,2965.0
511201,2516.0
511202,4580.0
511203,1837.0
511204,4910.0
511205,2174.0
511206,3420.0
511207,3910.0
511208,5940.0
511209,3409.0
511210,2535.0
511211,3879.0
511213,2638.0
511214,1819.0
511215,3237.0
511216,2957.0
511217,1916.0
511218,1907.0
511221,1953.0
511222,2646.0
511223,2381.0
511225,2574.0
511226,3022.0
511229,4625.0
511230,2057.0
511232,3483.0
511233,3507.0
511234,3678.0
511235,2651.0
511236,2199.0
511237,2979.0
511238,3432.0
511239,2269.0
511240,3843.0
511241,1878.0
511242,2520.0
511243,3650.0
511245,4180.0
511246,3703.0
511247,1859.0
511248,1761.0
511249,2061.0
511250,2691.0
511251,1865.0
511252,1774.0
511253,3503.0
511254,1828.0
511255,2000.0
511256,2286.0
511257,2546.0
511258,2458.0
511259,2957.0
511260,2598.0
511261,2943.0
511262,3481.0
511263,2710.0
511264,2510.0
511265,2339.0
511266,2490.0
511267,2192.0
511268,1978.0
511270,4705.0
511271,2425.0
511272,2043.0
511273,2181.0
511274,2561.0
511275,2339.0
511276,2067.0
511277,1677.0
511278,1750.0
511279,1867.0
511280,2565.0
511281,1745.0
511282,2613.0
511283,2347.0
511284,2609.0
511285,1899.0
511286,2009.0
511287,3.0
511288,4505.0
511289,1583.0
511290,4494.0
511291,4245.0
511292,2923.0
511293,3648.0
511295,1483.0
511296,1533.0
511297,1931.0
511298,2280.0
511299,4418.0
511300,2290.0
511301,3265.0
511302,2340.0
511303,1583.0
511305,3839.0
511306,3018.0
511307,1824.0
511308,5159.0
511309,3542.0
511310,2349.0
511311,2218.0
511312,3279.0
511313,3767.0
511314,2285.0
511315,2853.0
511316,2353.0
511317,2806.0
511318,4011.0
511319,2350.0
511320,4191.0
511321,3707.0
511322,3534.0
511323,3386.0
511324,1982.0
511325,1413.0
511326,889.0
511327,1784.0
511328,1951.0
511329,1553.0
511330,45.0
511331,2350.0
511332,3956.0
511333,1734.0
511334,1794.0
511335,2521.0
511336,2374.0
511337,3548.0
511338,3344.0
511339,3582.0
511341,3087.0
511342,3460.0
511343,3512.0
511344,4006.0
511345,2555.0
511346,5171.0
511347,1946.0
511348,3580.0
511349,4836.0
511350,3746.0
511351,1990.0
511352,1877.0
511353,2185.0
511354,2787.0
511355,3893.0
511356,2414.0
511357,3632.0
511358,1707.0
511359,2743.0
511360,1817.0
511361,1864.0
511362,1762.0
511363,1912.0
511364,1952.0
511365,3646.0
511366,3645.0
511367,2379.0
511368,2087.0
511369,2619.0
511370,2453.0
511371,3053.0
511372,1904.0
511375,3229.0
511378,2273.0
511379,26.0
511380,1998.0
511382,1870.0
511383,1816.0
511384,4005.0
511385,2203.0
511386,5887.0
511387,2366.0
511388,2920.0
511389,2597.0
511390,2297.0
511391,3263.0
511392,2254.0
511393,1743.0
511394,2705.0
511395,2196.0
511396,3475.0
511397,2722.0
511398,1759.0
511399,3144.0
511400,1740.0
511401,1758.0
511402,1645.0
511403,767.0
511404,1700.0
511405,1512.0
511406,4197.0
511407,3005.0
511408,2041.0
511409,2756.0
511410,1770.0
511411,2106.0
511412,2882.0
511413,3310.0
511414,2637.0
511415,3378.0
511417,3202.0
511418,3716.0
511419,3576.0
511420,3708.0
511422,3693.0
511423,3331.0
511424,4427.0
511425,3954.0
511426,3991.0
511427,3319.0
511429,2765.0
511430,2844.0
511431,2367.0
511432,3193.0
511433,2521.0
511434,3823.0
511435,2737.0
511436,0.0
511437,3339.0
511438,1878.0
511439,1698.0
511440,1681.0
511441,1765.0
511442,2934.0
511443,1730.0
511444,2928.0
511445,1746.0
511446,2547.0
511447,2878.0
511448,1915.0
511449,2334.0
511450,2656.0
511451,1713.0
511452,1717.0
511454,1768.0
511455,1981.0
511456,2649.0
511457,3245.0
511458,1851.0
511462,1737.0
511463,4049.0
511464,2359.0
511465,2187.0
511466,2255.0
511467,2863.0
511468,2471.0
511469,2194.0
511470,1951.0
511471,2104.0
511472,2884.0
511473,2243.0
511474,3064.0
511475,3484.0
511476,3804.0
511477,2185.0
511478,1803.0
511479,2233.0
511481,2019.0
511483,3474.0
511484,4040.0
511485,3395.0
511486,3568.0
511487,3700.0
511488,3706.0
511489,3729.0
511490,3539.0
511491,1907.0
511492,70.0
511493,2567.0
511494,1881.0
511495,1715.0
511496,1838.0
511497,2146.0
511498,1416.0
511499,1918.0
511500,1958.0
511501,1859.0
511502,1757.0
511503,3157.0
511505,3013.0
511506,3681.0
511507,1852.0
511508,2805.0
511509,4187.0
511511,2563.0
511512,2999.0
511513,2036.0
511514,3229.0
511515,3665.0
511516,3292.0
511517,2992.0
511518,2286.0
511519,2244.0
511522,1966.0
511525,4049.0
511526,2336.0
511527,2298.0
511529,4112.0
511531,4767.0
511532,4078.0
511533,3986.0
511534,2531.0
511535,5011.0
511536,3921.0
511537,3347.0
511538,1980.0
511539,1864.0
511540,1931.0
511541,1988.0
511543,2724.0
511544,1713.0
511545,3223.0
511546,2903.0
511547,3384.0
511548,1501.0
511549,1921.0
511550,1685.0
511551,1659.0
511552,1756.0
511553,1479.0
511554,86.0
511555,2080.0
511557,3885.0
511558,3821.0
511559,4722.0
511560,713.0
511561,2880.0
511562,3464.0
511563,4046.0
511564,3564.0
511565,2079.0
511566,3482.0
511567,2924.0
511568,3945.0
511569,4268.0
511570,4204.0
511571,2992.0
511572,1947.0
511573,1807.0
511574,3471.0
511575,3102.0
511576,2034.0
511577,1853.0
511578,2619.0
511579,1779.0
511580,1371.0
511581,1858.0
511582,2701.0
511583,1251.0
511584,3255.0
511585,2343.0
511586,1652.0
511587,45.0
511588,1808.0
511589,1712.0
511590,2036.0
511591,1.0
511592,1902.0
511593,1958.0
511594,1888.0
511595,1909.0
511596,1669.0
511597,1872.0
511598,1777.0
511600,2560.0
511601,1908.0
511602,1816.0
511603,1748.0
511604,1848.0
511605,1810.0
511606,1756.0
511607,1913.0
511608,1825.0
511609,1631.0
511610,3583.0
511611,1656.0
511612,1852.0
511613,1855.0
511614,1806.0
511615,2087.0
511616,3915.0
511617,2340.0
511618,2125.0
511619,4243.0
511620,3540.0
511621,4222.0
511622,3815.0
511623,3672.0
511624,5319.0
511625,2362.0
511626,3942.0
511627,4338.0
511628,3747.0
511629,4051.0
511630,2777.0
511631,1765.0
511632,1773.0
511633,2735.0
511634,2521.0
511635,1612.0
511636,1585.0
511637,1881.0
511638,1809.0
511639,3125.0
511640,1700.0
511641,1745.0
511642,1125.0
511643,1372.0
511644,23.0
511645,1209.0
511646,3599.0
511647,1216.0
511648,1509.0
511649,1540.0
511650,703.0
511651,2136.0
511652,1988.0
511653,2225.0
511654,2787.0
511655,2292.0
511656,2131.0
511657,3448.0
511658,2179.0
511659,3004.0
511660,1993.0
511661,3020.0
511662,2004.0
511663,3323.0
511664,2567.0
511665,3729.0
511666,1644.0
511667,1756.0
511668,2689.0
511669,1142.0
511672,2737.0
511674,1447.0
511675,3210.0
511676,4001.0
511677,1763.0
511678,1979.0
511679,2840.0
511680,2101.0
511681,1954.0
511682,2841.0
511684,1722.0
511685,2747.0
511688,2096.0
511689,3530.0
511690,2398.0
511692,2482.0
511693,2059.0
511694,1960.0
511695,1855.0
511696,1510.0
511697,1615.0
511698,2166.0
511699,2146.0
511700,1979.0
511701,2715.0
511703,2670.0
511704,2487.0
511705,2858.0
511706,2099.0
511707,2924.0
511708,3581.0
511709,3935.0
511710,1877.0
511711,1932.0
511712,2047.0
511713,2091.0
511714,1908.0
511715,1709.0
511716,2006.0
511717,26.0
511718,1750.0
511719,1806.0
511720,1804.0
511721,1802.0
511722,944.0
511723,1936.0
511724,2057.0
511725,9.0
511726,2673.0
511727,1687.0
511728,1959.0
511729,1858.0
511730,3567.0
511731,10.0
511732,4498.0
511733,3902.0
511734,4588.0
511735,3685.0
511736,4265.0
511737,2928.0
511738,4323.0
511739,3834.0
511740,4407.0
511741,3109.0
511743,4170.0
511744,4231.0
511746,3160.0
511747,2322.0
511749,1391.0
511750,2523.0
511752,2836.0
511753,1837.0
511754,1619.0
511756,1462.0
511757,1386.0
511759,732.0
511761,2914.0
511762,2599.0
511764,2204.0
511765,1463.0
511766,1493.0
511767,1463.0
511768,1597.0
511769,1442.0
511770,2714.0
511771,1410.0
511772,2335.0
511773,1441.0
511774,1936.0
511775,1344.0
511776,1591.0
511777,1441.0
511778,1718.0
511779,1358.0
511780,2907.0
511781,1368.0
511782,2632.0
511783,1565.0
511784,3310.0
511785,1839.0
511786,1761.0
511787,4279.0
511788,1791.0
511789,4299.0
511790,3397.0
511791,3411.0
511792,4126.0
511793,4088.0
511794,4261.0
511795,1457.0
511796,1713.0
511797,1663.0
511798,3346.0
511799,2445.0
511801,1648.0
511803,1709.0
511804,1574.0
511805,2965.0
511806,1701.0
511808,1.0
511809,3018.0
511810,1875.0
511811,1842.0
511812,3940.0
511813,2778.0
511814,4228.0
511815,4104.0
511816,3889.0
511817,3687.0
511819,4326.0
511820,1520.0
511821,1490.0
511822,1477.0
511823,2300.0
511824,2608.0
511825,2690.0
511826,1925.0
511827,3740.0
511828,1647.0
511829,1503.0
511830,1780.0
511831,1553.0
511832,1409.0
511833,1730.0
511835,1604.0
511836,1522.0
511837,1438.0
511838,1645.0
511839,1681.0
511840,1365.0
511841,2640.0
511842,1440.0
511843,1780.0
511844,1564.0
511846,1589.0
511848,1599.0
511849,3603.0
511850,2279.0
511851,1452.0
511852,1702.0
511853,1480.0
511854,1637.0
511855,1631.0
511856,2375.0
511857,1818.0
511858,1347.0
511859,1862.0
511860,1646.0
511861,2097.0
511862,1829.0
511863,1888.0
511865,1915.0
511866,2059.0
511867,2915.0
511868,1706.0
511870,2552.0
511871,2225.0
511872,2059.0
511873,4132.0
511874,2306.0
511876,3416.0
511877,1654.0
511878,1615.0
511879,1593.0
511882,2864.0
511883,3203.0
511884,2128.0
511885,1557.0
511886,1576.0
511887,2580.0
511888,1958.0
511889,1613.0
511890,1414.0
511891,1400.0
511892,2771.0
511893,2048.0
511895,4407.0
511896,3485.0
511898,4634.0
511901,3248.0
511903,1964.0
511904,3451.0
511905,4114.0
511906,1461.0
511908,1447.0
511909,1495.0
511910,2925.0
511911,2059.0
511912,1652.0
511914,1954.0
511915,0.0
511916,0.0
511917,1829.0
511918,27.0
511919,0.0
511920,0.0
511921,0.0
511922,2257.0
511924,0.0
511925,1422.0
511926,0.0
511927,0.0
511928,0.0
511929,1587.0
511930,2179.0
511931,1473.0
511932,1500.0
511933,0.0
511934,1703.0
511935,2483.0
511936,1635.0
511937,2974.0
511938,1606.0
511939,1635.0
511940,1316.0
511941,2221.0
511942,2120.0
511943,0.0
511944,1435.0
511945,805.0
511946,0.0
511947,0.0
511948,0.0
511949,835.0
511950,0.0
511952,993.0
511953,2759.0
511954,1090.0
511955,1068.0
511956,0.0
511957,1441.0
511958,734.0
511959,657.0
511960,0.0
511961,0.0
511962,1051.0
511963,0.0
511964,0.0
511965,0.0
511966,1.0
511967,2269.0
511968,0.0
511969,1944.0
511970,0.0
