NOP_Вхождение в гр.МНЛЗ,NOP_Завалка лома,NOP_Заливка чугуна,NOP_Наведение гарнисажа,NOP_Нагрев лома,NOP_Наложение продувки,NOP_Неиспр. электр. обор,NOP_Обрыв горловины,NOP_Осмотр конвертера,NOP_Отсутствие O2,NOP_Отсутствие чугуна,NOP_Подварка  футеровки,NOP_Полусухое торкрет.,NOP_Продувка,NOP_Слив шлака,NOP_межпл. простой
0,18,194,0,734,0,982,0,212,0,0,0,0,1193,403,756
0,103,244,195,812,0,0,0,82,0,1662,0,0,1212,58,1973
0,125,209,133,858,0,0,0,91,0,1588,0,0,1240,38,1434
0,169,206,128,766,0,0,0,80,0,0,0,0,1166,43,835
0,73,228,0,760,0,0,0,0,0,0,1326,0,1149,0,2482
0,108,39,140,724,0,1170,0,101,0,0,0,0,1153,62,3035
0,69,194,186,740,0,0,0,62,0,0,0,0,1140,62,607
0,147,209,174,734,0,0,0,218,0,0,0,0,1143,123,450
0,124,276,113,740,0,0,0,27,0,0,0,0,1115,59,518
0,82,231,155,718,0,0,0,62,0,0,0,0,1018,95,1224
0,82,221,142,724,0,0,0,68,0,1480,0,0,1096,84,839
0,58,245,110,724,0,0,0,68,0,0,0,0,1008,157,2043
0,77,261,171,732,0,0,0,61,0,0,0,0,1007,106,1061
0,82,270,145,800,0,0,0,136,466,0,0,0,1041,89,2025
0,89,224,123,728,0,0,0,58,0,0,0,0,1052,126,2004
0,1011,201,130,730,0,0,993,77,884,0,0,0,1018,127,929
0,353,275,143,722,0,0,335,67,0,0,0,0,1025,71,1009
0,134,227,200,728,0,0,0,78,0,0,0,0,1093,68,642
525,142,618,180,724,0,0,0,60,0,1163,0,0,1087,43,1525
978,146,271,187,736,0,0,0,50,0,0,0,0,1108,98,2021
304,157,271,65,736,0,0,0,38,0,0,0,0,1059,276,1264
933,203,359,114,754,0,0,0,36,0,0,0,0,1021,84,3293
0,189,276,129,738,0,0,0,76,0,0,0,0,1007,106,713
0,180,280,142,732,0,0,0,196,0,0,0,0,1072,150,739
1765,122,267,144,738,0,0,0,47,0,0,0,0,1088,111,1234
0,131,131,143,754,0,0,0,90,0,0,0,0,1029,184,2494
0,655,194,111,732,0,0,1169,202,0,0,0,0,1017,47,1496
0,163,221,212,746,0,0,0,41,0,0,0,0,1011,194,745
0,119,235,129,734,0,0,0,58,0,0,0,0,1128,83,862
0,137,260,143,756,0,0,0,200,0,0,0,0,1172,102,766
0,88,217,249,890,0,0,811,23,0,0,0,0,1179,54,1516
0,140,214,113,806,0,0,0,155,0,0,0,0,1246,43,761
0,161,257,70,718,0,0,0,239,0,0,0,0,1172,191,890
0,113,308,191,728,0,0,0,131,0,423,0,0,1254,28,908
0,73,203,0,768,0,0,0,0,0,0,1482,0,1191,0,1914
0,28,224,87,748,0,0,742,98,0,0,0,0,1090,31,1731
0,97,218,150,726,0,0,0,224,0,0,0,0,1237,88,573
0,67,208,140,746,0,0,928,145,0,65,0,0,1419,60,3842
0,107,160,83,750,0,0,0,171,0,0,0,0,1109,37,3341
0,153,226,107,716,145,0,0,140,0,0,0,0,1113,150,3814
0,161,225,108,718,0,0,0,99,206,0,0,0,1100,37,1135
0,158,217,108,720,0,0,0,82,0,0,0,0,1114,41,1702
0,120,267,111,722,0,0,0,88,0,0,0,0,1090,73,2700
0,151,229,103,718,0,0,0,98,0,0,0,0,1101,57,977
0,179,242,108,724,0,0,0,59,0,0,0,0,1037,47,681
0,145,194,126,720,0,0,0,81,0,0,0,0,1108,76,755
0,137,275,111,722,0,0,0,111,0,0,0,0,1070,39,1488
0,118,247,119,712,0,0,0,113,0,0,0,0,1059,55,1202
0,176,222,137,730,0,0,0,78,0,0,0,0,1080,36,438
0,153,273,119,718,0,0,0,121,0,0,0,0,1082,40,1167
0,1317,190,141,728,740,0,1224,0,0,0,0,0,1094,122,3480
0,51,247,174,742,0,0,0,81,0,0,0,0,1125,155,1106
0,190,271,200,744,0,0,0,26,0,0,0,0,1067,187,1067
373,199,525,118,738,0,0,0,228,0,0,0,0,1102,68,1038
580,644,251,127,732,0,0,0,208,0,0,0,0,1093,239,926
0,131,268,155,744,0,0,0,103,0,0,0,0,1017,87,3011
0,152,239,111,742,0,0,0,192,0,911,0,0,1052,132,995
0,87,298,227,740,0,0,257,0,0,0,0,0,1035,160,1185
0,1664,206,147,756,0,0,1604,223,0,0,0,0,1046,357,2410
0,146,241,152,740,0,0,0,209,0,0,0,712,1032,33,1595
0,607,218,137,740,0,0,535,155,0,0,0,0,1064,67,1461
0,176,254,127,776,0,0,0,152,0,0,0,0,1085,58,1895
0,83,309,114,718,0,0,0,61,0,0,0,0,1107,112,791
0,76,252,130,738,0,0,0,84,0,0,0,0,1132,102,1104
0,90,229,132,736,0,0,0,85,0,0,0,0,1118,109,2437
0,79,245,162,730,0,0,0,105,0,0,0,0,1084,97,1448
0,137,279,205,736,910,0,0,183,0,0,0,0,1142,417,1599
0,173,268,180,724,0,0,0,0,0,0,1004,0,1159,134,2484
0,143,206,112,722,0,0,0,55,0,1600,0,0,1085,81,934
0,130,294,148,754,377,0,496,53,0,0,0,0,1161,36,702
0,159,261,124,726,1421,0,0,36,0,0,0,0,1163,93,692
0,160,244,135,724,916,0,0,161,0,353,0,0,1151,58,3556
0,154,293,0,728,0,500,0,108,0,0,0,0,1136,0,439
0,219,251,116,744,0,0,0,124,0,0,0,1199,1137,45,1850
0,42,230,110,720,245,0,0,67,0,0,0,0,1166,77,738
0,97,329,105,728,0,0,379,35,0,1180,0,0,1135,76,846
0,770,324,113,724,0,0,995,112,0,0,0,0,1149,23,798
0,127,220,126,720,0,0,0,64,0,934,0,0,1159,83,1200
0,177,242,182,724,0,0,0,71,0,0,0,0,1139,11,1697
0,164,196,139,730,0,0,0,79,0,748,0,0,1219,27,1932
0,132,246,109,704,0,0,0,102,0,0,0,0,1007,41,786
0,31,376,146,752,0,0,0,80,0,0,0,0,1081,224,846
401,208,346,140,708,0,0,0,123,0,0,0,0,1075,126,1416
0,33,463,0,752,0,0,0,0,0,0,1356,0,833,0,2080
0,18,196,256,714,0,0,0,172,0,0,0,1144,1084,16,488
753,21,168,207,748,0,0,0,0,0,0,0,2870,1223,32,786
0,343,158,165,800,0,0,0,129,0,0,0,0,1159,188,1001
0,17,241,237,754,0,0,752,45,0,0,0,0,1120,90,2134
0,143,256,141,758,0,0,0,91,0,0,0,0,1221,33,999
0,437,291,106,730,273,0,0,97,279,0,0,0,1229,63,2202
0,93,300,131,730,618,0,0,107,289,0,0,0,1230,144,1741
0,90,277,107,714,0,0,0,204,0,0,1020,0,1157,513,2606
0,52,400,159,720,0,2430,0,64,0,0,0,0,1053,164,1745
0,165,293,163,726,248,0,0,66,0,0,0,0,1072,77,2525
0,93,331,209,718,352,0,0,73,0,0,0,0,1061,87,1303
0,81,293,192,728,0,0,0,96,0,0,0,0,1130,121,914
0,83,247,126,734,0,224,0,150,0,0,0,0,1104,143,2134
0,78,281,208,730,0,0,0,82,0,0,0,0,1132,136,2704
0,40,202,163,720,0,0,0,173,0,0,0,0,1123,171,3470
0,43,247,126,718,0,65,0,66,0,1781,0,0,1104,175,710
0,268,315,190,770,0,0,0,55,0,0,0,0,1108,210,2580
0,116,222,111,754,0,0,0,208,0,0,0,0,1088,201,1944
0,108,214,133,794,0,0,0,163,0,0,0,0,1111,99,950
342,129,231,140,782,0,0,0,98,0,0,0,0,1146,261,1993
0,119,194,158,776,0,0,0,95,0,0,0,0,1229,97,2184
0,80,186,158,744,0,0,0,109,0,0,0,0,1160,107,3760
0,165,226,69,730,0,162,0,224,0,0,0,0,1238,334,2854
0,100,281,205,762,0,0,0,159,0,0,0,0,1221,82,1869
0,19,247,104,782,0,0,928,83,0,0,0,0,1203,30,3959
0,159,711,183,736,479,2034,0,130,0,0,0,0,1261,53,479
0,49,390,140,746,326,0,0,95,0,0,0,0,1151,184,3946
0,119,129,142,774,149,0,0,147,0,0,0,0,1171,146,1411
0,71,170,129,924,0,0,0,228,0,0,0,0,1158,244,2028
1967,580,300,109,752,552,0,0,114,0,0,0,0,1101,111,2688
0,171,241,125,718,0,0,0,91,0,0,0,0,1128,58,1211
0,190,291,108,734,0,0,0,52,0,0,1447,0,1136,168,2265
0,267,256,80,718,0,0,0,0,0,0,0,0,1128,111,1832
710,206,241,120,722,0,0,0,234,0,0,0,0,1191,119,1009
456,164,205,110,728,285,0,0,81,0,0,0,0,1137,61,796
0,1359,233,155,722,0,0,1185,75,0,0,0,0,1159,113,1028
0,168,82,107,2812,0,0,0,104,0,514,0,0,80,60,3462
0,137,302,64,718,0,0,0,126,0,0,0,0,1143,87,989
0,194,315,112,732,0,0,0,75,0,0,0,0,1092,43,642
938,116,241,0,722,0,0,0,30,0,0,0,0,1129,0,1451
0,134,221,166,736,389,0,0,104,0,0,0,0,1196,117,817
0,106,271,151,736,0,0,0,95,0,4058,0,0,1144,116,1238
0,168,175,153,732,0,0,0,220,0,0,0,0,1052,307,850
0,143,219,124,738,0,0,0,115,0,0,0,0,1062,101,2486
0,2287,305,106,798,0,0,2192,195,0,526,0,0,1111,459,1523
0,162,271,112,986,493,0,0,121,0,0,0,0,1122,116,894
0,118,342,177,742,783,933,0,61,0,0,0,0,1072,133,715
0,169,286,150,730,0,0,0,97,0,0,0,0,1021,45,1089
0,122,309,150,744,548,0,0,162,0,0,0,0,1059,127,1901
0,97,293,148,724,106,0,0,46,0,0,0,0,1122,89,292
0,77,238,171,756,0,0,0,77,0,0,0,0,1175,104,778
0,293,283,92,724,0,0,0,128,0,309,0,0,1189,137,797
0,95,334,144,720,0,0,0,67,0,4199,0,0,1122,110,1775
0,263,240,122,728,0,0,0,55,0,0,0,0,1191,101,3119
0,117,352,149,734,1036,0,0,87,0,0,0,0,1138,77,500
0,79,251,151,730,0,0,0,173,0,0,1040,0,1140,119,1703
0,1055,317,105,744,0,0,1037,76,0,0,0,0,1109,76,896
0,79,232,148,738,0,0,0,26,0,0,0,0,1127,108,3018
0,163,280,174,732,324,0,0,44,0,0,0,0,1147,65,769
0,102,363,154,724,697,0,0,64,0,0,0,0,1070,111,1689
0,92,385,109,732,152,0,0,67,0,3734,0,0,1169,96,1356
0,90,277,131,720,0,0,0,47,0,571,0,0,1115,75,2481
0,114,284,154,720,968,0,0,101,0,0,0,0,1136,64,2259
0,110,218,111,738,729,0,0,105,0,0,0,0,1126,65,1645
0,203,403,126,786,0,0,1385,85,0,0,0,0,1165,45,595
0,172,225,160,730,0,0,0,116,0,0,0,0,1172,35,679
0,168,206,171,718,0,0,0,75,0,0,0,0,1126,78,1145
263,175,216,117,720,0,0,0,72,0,0,0,0,1117,62,1913
0,1581,208,131,718,0,0,1481,76,0,0,0,0,1150,62,717
0,145,188,104,718,0,0,0,78,0,0,0,0,1147,69,1983
0,164,275,131,718,0,0,0,76,0,153,0,0,1123,47,2392
0,51,213,113,764,646,0,0,70,0,0,0,0,1162,41,1576
292,165,217,133,720,0,0,0,108,0,0,0,0,1151,34,1019
0,151,189,0,898,0,0,0,200,0,0,0,0,1112,174,2593
0,183,209,128,740,0,0,0,92,0,0,0,0,1144,45,1539
19,318,266,124,774,0,0,925,83,0,0,0,0,1157,180,1878
0,106,228,174,782,0,0,0,72,0,0,0,0,1135,86,1929
0,31,224,200,732,0,0,0,119,0,0,0,0,1164,155,1404
0,38,247,143,848,0,0,1201,220,0,0,0,0,1236,167,1624
0,15,239,91,806,0,0,1259,90,0,0,0,0,1219,26,1263
0,339,294,153,750,0,0,0,98,0,0,0,0,1187,110,2224
0,148,246,104,758,0,0,0,130,0,0,0,0,1200,67,2408
0,127,265,61,758,0,0,0,90,0,0,0,0,1171,70,504
0,66,223,142,746,0,0,0,51,0,0,0,0,1196,107,931
0,129,272,127,724,0,0,0,54,0,0,0,0,1234,41,714
431,85,236,117,726,0,0,0,67,759,0,0,0,1261,93,783
0,71,301,156,726,0,0,0,33,0,0,1029,0,1259,189,836
0,80,229,130,716,0,0,0,50,0,999,0,0,1236,131,884
0,78,197,111,760,0,0,0,53,0,788,0,0,1163,123,668
0,81,318,102,732,0,0,0,152,0,0,0,0,1144,123,716
0,213,308,177,728,0,0,0,41,0,0,0,0,1037,97,759
0,224,324,0,960,632,0,0,93,0,0,0,0,1206,0,1210
0,31,255,158,754,0,0,0,54,0,0,0,0,1073,147,1661
566,157,214,138,744,0,0,0,126,0,0,0,0,1135,87,1538
0,127,253,177,774,0,0,0,116,0,0,0,0,1120,74,1085
0,129,254,161,740,0,0,0,89,0,0,0,0,1073,114,742
617,42,241,150,746,0,0,0,62,0,0,0,0,1076,137,1645
0,100,197,130,738,0,0,0,43,0,0,0,0,1097,117,2511
0,147,246,107,736,0,0,0,208,0,0,0,0,1040,111,1112
0,155,169,113,764,0,0,0,77,0,0,0,0,1095,94,781
0,84,228,122,746,0,0,0,206,0,0,0,0,1161,200,2682
0,63,165,86,750,0,0,1234,100,0,0,0,0,1155,29,2599
0,19,285,156,790,0,0,2919,193,0,0,0,0,1159,242,4179
0,101,269,167,746,0,0,0,83,0,0,0,0,1221,69,718
0,36,250,162,732,0,0,0,128,0,0,0,0,1092,297,1726
341,140,218,128,756,0,0,0,140,0,0,0,0,1217,50,657
292,39,217,113,780,0,0,0,211,0,0,0,0,1173,82,1030
0,61,280,128,756,0,0,0,138,0,0,0,0,1213,92,868
0,107,219,145,734,0,0,0,0,0,0,0,0,1240,324,880
0,157,207,121,724,0,0,0,179,0,0,0,0,1214,23,663
0,147,190,169,748,0,0,0,64,0,0,0,0,1163,67,792
0,244,280,129,720,0,0,0,180,0,0,0,0,1162,79,1235
54,306,239,114,722,322,0,0,69,0,0,0,0,1102,98,2160
0,157,376,120,716,0,187,0,105,0,0,0,0,1157,59,1785
367,122,225,132,722,0,0,0,219,0,0,0,0,1181,510,1404
0,1777,228,145,718,0,0,1759,89,0,0,0,0,1187,40,940
0,219,238,174,728,0,0,0,170,154,0,0,742,1073,176,2725
0,53,223,116,756,858,496,0,69,0,0,0,0,1145,65,1532
245,175,83,126,716,0,0,0,59,0,0,0,0,1091,195,1071
438,254,132,104,728,0,0,0,40,0,0,0,0,1159,124,824
0,124,232,97,778,0,0,0,61,0,0,0,0,1167,108,806
0,145,191,135,806,0,0,0,155,0,0,0,0,1125,51,482
805,258,202,139,748,0,0,0,204,0,0,0,0,1118,205,1929
275,164,218,125,782,0,544,0,220,0,0,0,0,1092,86,1167
1204,120,251,207,754,0,0,0,0,0,0,0,0,1138,131,924
0,154,205,133,730,0,0,0,201,0,0,0,0,1060,289,1372
0,1358,213,211,744,0,0,1213,136,0,0,0,0,1142,187,3413
0,141,270,201,738,0,0,0,0,0,0,0,726,1096,192,1449
0,173,224,164,740,0,0,0,41,0,0,0,0,1136,71,559
0,153,279,294,754,0,0,0,0,0,0,0,0,1081,245,1903
0,135,227,213,744,0,0,0,0,0,0,0,0,1117,252,1294
0,168,217,279,734,0,0,0,0,0,0,0,0,1100,621,1368
0,105,313,172,766,211,0,0,89,0,0,0,0,1163,190,4130
0,137,276,138,728,0,0,0,56,0,0,0,0,1379,155,1371
0,142,256,162,1044,0,0,0,140,1396,123,0,0,1117,422,4127
0,180,254,0,720,0,0,0,160,621,0,0,0,1220,2,799
0,141,290,138,738,0,0,0,51,1746,0,0,0,1192,107,2410
0,206,300,176,722,0,0,0,41,396,0,0,0,1170,64,935
0,1623,224,162,722,0,0,1487,95,23,0,0,0,1167,41,1580
0,741,302,172,722,0,0,672,77,0,0,0,0,1194,37,741
0,178,195,118,716,0,0,0,75,0,0,0,0,1159,36,741
0,167,233,138,718,0,0,0,75,0,0,0,0,1157,76,1443
0,222,255,170,720,0,0,0,40,0,0,1286,0,1211,63,3893
0,190,285,114,726,524,0,0,82,0,0,0,0,1196,35,1361
0,274,242,127,722,259,0,0,73,0,0,0,0,1248,93,2903
0,175,262,137,722,179,0,0,124,0,0,0,0,1256,32,1082
0,162,323,75,744,103,0,0,30,0,565,0,0,1201,43,1633
0,79,228,121,730,0,0,0,69,0,0,1230,0,1212,111,792
0,63,286,92,706,0,0,0,196,0,0,0,0,1292,664,553
0,19,186,103,748,0,0,1180,219,0,846,0,0,1245,25,3751
0,590,212,162,764,0,0,554,110,0,0,0,0,1231,49,1638
0,15,213,157,806,0,0,50,101,0,2741,0,0,1209,12,2207
0,63,360,118,732,0,0,0,162,0,0,0,0,1220,86,1044
0,87,275,122,728,0,0,0,142,0,0,0,0,1219,120,688
0,326,283,0,740,469,0,180,184,0,0,0,0,1249,83,2105
0,96,244,94,732,0,0,0,147,0,0,1007,0,1221,135,1782
0,64,344,116,732,0,281,0,0,0,0,0,0,1129,103,1339
0,79,273,120,732,0,0,0,64,0,0,0,0,1231,88,1489
0,83,223,139,728,0,0,0,52,0,663,0,0,1146,91,996
212,1667,309,111,818,0,0,1650,70,0,0,0,0,1208,29,853
0,90,237,109,758,0,0,0,47,0,0,0,0,1326,129,431
1395,122,247,123,774,0,0,0,65,0,0,0,0,1306,54,402
0,281,228,145,720,0,0,0,92,0,0,0,0,1212,113,790
0,138,198,105,646,0,0,0,76,0,0,0,0,1261,48,1461
0,264,309,249,740,0,0,0,28,0,0,0,0,1161,6,937
0,154,283,117,748,0,0,0,182,0,0,0,0,1185,787,2034
0,159,402,136,754,0,0,0,54,0,0,0,0,1161,611,1396
0,199,309,147,738,0,0,0,0,0,0,0,0,1159,124,943
0,162,404,153,746,0,0,0,59,0,0,0,0,1151,390,1132
0,183,294,217,738,0,0,0,46,0,1206,0,0,1161,145,1560
0,166,285,169,740,0,0,0,58,0,0,0,0,1126,363,712
0,1659,185,76,754,0,0,1638,30,0,813,0,0,1221,122,1590
470,114,219,172,762,0,0,0,65,0,0,0,0,1120,665,1879
0,181,298,143,742,0,0,0,34,0,0,0,0,1134,50,552
0,159,252,125,740,0,0,0,64,0,0,0,0,1125,108,2158
0,188,232,106,750,0,0,0,34,0,173,1342,0,1282,52,2967
0,526,213,158,734,468,0,0,119,0,0,0,0,1215,111,2624
0,119,213,163,768,0,0,0,132,0,0,0,0,1197,53,2073
0,170,265,141,750,0,0,0,136,1078,0,0,0,1218,76,2138
0,28,74,166,786,0,0,0,150,0,1362,0,0,1232,204,3788
0,126,248,110,746,0,0,0,171,0,558,0,0,1223,99,1895
0,76,224,163,730,0,0,0,133,0,0,0,0,1241,99,827
0,30,251,222,806,0,0,1719,130,0,0,0,0,1152,113,705
0,572,201,156,818,0,0,470,90,0,0,0,0,1126,23,884
0,202,176,0,738,0,0,0,29,0,923,0,0,1170,0,1434
0,128,245,121,720,0,477,0,55,0,1765,0,0,1203,125,1606
0,214,320,150,718,0,0,0,80,0,0,0,0,1145,39,941
0,122,243,123,718,0,0,0,52,0,1505,0,0,1157,90,684
0,240,287,170,742,0,0,0,95,0,0,1300,0,1203,76,3771
0,1826,238,103,720,0,0,1642,107,0,0,0,0,1203,36,2301
0,197,204,130,728,0,0,0,99,0,0,0,0,1221,53,2003
0,157,284,114,772,0,0,0,66,0,966,0,0,1197,44,1253
0,254,371,112,724,661,0,0,70,0,0,0,0,1220,74,2060
0,210,224,152,810,0,0,0,221,0,0,0,0,1147,69,706
0,140,388,173,736,0,0,0,43,0,0,0,0,1197,81,2212
0,152,300,164,744,0,0,0,209,0,0,0,0,1108,135,858
0,147,211,172,742,0,0,0,0,0,0,0,0,1205,210,2584
0,235,291,115,728,0,0,0,66,0,0,0,0,1169,556,1278
0,143,290,135,746,0,0,0,140,0,0,0,0,1140,472,2293
0,157,285,160,758,0,0,0,29,0,0,0,0,1173,300,1066
0,1529,303,121,744,0,0,1446,184,0,0,0,0,1182,75,1982
0,122,266,211,756,0,0,0,0,0,0,0,0,1175,315,1267
0,111,281,204,750,0,0,0,0,0,0,0,0,1160,255,766
0,81,315,0,744,0,0,0,233,0,0,0,0,1145,299,1551
0,103,290,222,768,0,0,0,0,0,0,0,0,1255,244,1111
0,429,290,119,736,0,0,268,0,0,1408,985,0,1200,134,1570
0,238,273,119,742,0,0,0,137,0,0,0,0,1252,88,1093
0,185,240,128,728,0,0,0,112,0,0,0,0,1245,91,1521
0,168,223,177,750,0,0,0,53,0,0,0,0,1167,121,1132
0,178,221,150,764,706,0,0,56,0,0,0,0,1205,68,1615
0,190,287,188,756,0,0,0,203,0,0,0,0,1220,55,824
272,151,456,204,726,0,0,0,69,0,0,0,0,1186,68,647
0,163,274,165,740,0,0,0,93,0,0,1359,0,1224,44,1846
0,352,293,145,702,0,0,0,227,0,0,0,0,1302,225,2863
0,344,261,134,712,0,0,0,94,0,0,0,0,1271,62,642
0,131,319,118,732,0,0,0,98,0,0,0,0,1271,82,1245
0,41,286,149,814,363,0,0,79,0,0,0,0,1249,61,1151
0,141,290,117,724,472,0,0,77,0,208,0,0,1249,55,1127
0,113,224,147,722,92,0,0,92,0,308,0,0,1208,110,1041
0,761,259,230,720,0,0,0,74,0,1062,0,0,1207,78,1758
0,968,266,130,740,0,0,945,106,0,0,0,0,1280,60,1730
0,195,327,126,752,0,0,0,196,0,0,1278,0,1250,387,2657
0,158,255,135,736,427,0,0,172,0,0,0,0,1212,33,973
519,149,226,0,754,0,0,0,238,0,681,0,0,1396,602,1487
0,103,211,146,782,0,0,0,96,0,0,0,0,1374,109,854
0,144,228,93,820,0,0,0,105,0,0,0,0,1331,92,1590
0,129,228,62,744,0,0,0,209,0,0,0,0,1359,47,1018
0,150,223,105,750,0,0,0,111,0,0,0,0,1330,42,987
71,223,190,188,750,0,0,0,0,0,0,0,0,1216,412,1369
0,205,168,139,784,0,0,0,120,0,0,0,0,1242,34,881
0,110,0,173,822,0,0,0,108,588,0,0,0,1221,47,733
0,13,121,240,0,0,0,491,0,216,0,0,0,1246,330,2244
0,170,205,122,746,1267,0,0,48,0,0,0,0,1210,96,643
0,160,237,137,724,0,0,0,216,0,0,0,0,1194,166,1747
1260,208,218,118,770,0,0,0,197,0,0,0,0,1166,110,931
0,169,230,105,734,0,0,0,128,0,0,0,0,1201,78,1475
0,156,213,105,732,0,0,0,98,0,0,0,0,1231,87,1860
0,196,188,132,726,0,0,0,135,0,0,1142,0,1208,98,3343
0,191,209,105,732,0,0,0,232,0,0,0,0,1233,352,1722
0,181,271,126,732,0,0,0,70,0,0,0,0,1239,71,1652
0,3193,244,105,976,706,0,2376,46,0,0,0,0,1192,97,582
0,168,318,107,750,0,0,0,76,0,0,0,0,1218,112,879
0,163,221,105,718,0,0,0,133,0,0,0,0,1269,75,3171
0,221,243,149,744,0,0,0,38,0,0,0,0,1162,72,569
497,187,393,110,744,0,0,0,141,0,0,0,0,1173,168,1291
532,167,284,173,732,0,0,0,106,0,0,0,0,1153,66,2111
0,97,341,82,764,0,0,0,221,0,0,0,0,1230,98,1309
2440,151,285,116,790,0,0,0,64,0,0,0,0,1134,60,363
0,108,224,250,748,0,0,0,0,0,0,0,0,1191,296,1918
0,117,222,210,750,0,0,0,0,0,0,0,0,1085,326,1644
0,75,209,220,754,0,0,0,0,0,0,0,0,1131,384,954
0,121,292,120,732,0,0,0,181,0,0,0,0,1128,121,1588
0,193,206,105,808,0,0,0,112,0,0,0,0,1164,49,588
0,187,196,104,768,0,0,0,213,0,0,0,0,1230,650,1428
0,106,231,116,802,0,0,0,94,0,0,1086,0,1113,64,552
0,78,173,187,778,0,0,0,106,0,1526,0,0,1149,83,985
0,145,213,170,764,0,0,0,81,0,0,0,0,1167,35,855
0,23,166,0,834,0,692,911,184,0,0,0,0,1131,137,2140
906,108,201,220,790,0,0,0,99,0,0,0,0,1143,150,2751
0,44,185,191,772,0,0,0,77,0,0,0,0,1231,78,1005
0,139,197,116,914,0,0,0,83,0,0,0,0,1184,18,1610
0,433,285,401,896,0,0,340,21,0,0,0,0,1163,1061,1498
0,148,242,150,722,0,0,0,38,0,0,0,0,1179,141,1738
0,476,321,158,750,0,0,0,33,913,0,0,0,1193,99,3231
0,95,181,152,754,0,0,0,88,0,0,0,0,1177,143,727
0,722,307,130,0,0,0,0,76,522,0,0,0,1183,60,713
0,75,261,129,746,0,0,0,196,0,1199,0,0,1160,25,1818
0,138,314,126,740,0,0,0,86,0,0,0,0,1217,124,748
316,144,264,155,754,0,0,0,50,0,0,0,0,1146,294,1649
407,166,278,228,746,0,0,0,0,0,0,0,0,1149,172,6149
0,534,215,183,738,0,0,403,0,0,0,0,0,1139,156,674
0,194,340,223,736,0,0,0,0,0,0,0,0,1120,286,1663
0,138,462,213,744,0,0,0,0,0,0,0,0,1130,221,1620
0,132,294,164,746,0,0,0,61,0,0,0,0,1231,68,889
0,159,252,160,734,0,0,0,77,0,0,985,0,1318,119,2179
0,152,279,162,726,0,0,0,96,0,0,0,0,1233,82,707
0,169,302,117,752,0,0,0,58,0,0,0,0,1225,68,2461
0,194,309,111,740,0,0,0,58,0,0,0,0,1164,60,1403
42,189,277,97,738,1373,0,0,71,0,0,0,0,1182,216,3168
